Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 5.48577E-5
 1.20000E-3, 5.48577E-5
 2.40000E-3, 5.48577E-5
 3.60000E-3, 5.17344E-5
 4.80000E-3, 5.48577E-5
 6.00000E-3, 5.48577E-5
 7.20000E-3, 5.48577E-5
 8.40000E-3, 5.48577E-5
 9.60000E-3, 5.48577E-5
 1.08000E-2, 5.17344E-5
 1.20000E-2, 5.48577E-5
 1.32000E-2, 5.48577E-5
 1.44000E-2, 5.48577E-5
 1.56000E-2, 5.48577E-5
 1.68000E-2, 5.48577E-5
 1.80000E-2, 5.48577E-5
 1.92000E-2, 5.48577E-5
 2.04000E-2, 5.48577E-5
 2.16000E-2, 5.48577E-5
 2.28000E-2, 5.48577E-5
 2.40000E-2, 5.48577E-5
 2.52000E-2, 5.48577E-5
 2.64000E-2, 5.48577E-5
 2.76000E-2, 5.48577E-5
 2.88000E-2, 5.48577E-5
 3.00000E-2, 5.48577E-5
 3.12000E-2, 5.48577E-5
 3.24000E-2, 5.48577E-5
 3.36000E-2, 5.48577E-5
 3.48000E-2, 5.48577E-5
 3.60000E-2, 5.48577E-5
 3.72000E-2, 5.48577E-5
 3.84000E-2, 5.48577E-5
 3.96000E-2, 5.48577E-5
 4.08000E-2, 5.48577E-5
 4.20000E-2, 5.48577E-5
 4.32000E-2, 5.48577E-5
 4.44000E-2, 5.79809E-5
 4.56000E-2, 5.79809E-5
 4.68000E-2, 5.79809E-5
 4.80000E-2, 5.79809E-5
 4.92000E-2, 6.73506E-5
 5.04000E-2, 6.42274E-5
 5.16000E-2, 6.11041E-5
 5.28000E-2, 6.73506E-5
 5.40000E-2, 6.73506E-5
 5.52000E-2, 7.04739E-5
 5.64000E-2, 7.04739E-5
 5.76000E-2, 7.04739E-5
 5.88000E-2, 7.04739E-5
 6.00000E-2, 7.04739E-5
 6.12000E-2, 7.04739E-5
 6.24000E-2, 7.04739E-5
 6.36000E-2, 7.04739E-5
 6.48000E-2, 7.04739E-5
 6.60000E-2, 7.04739E-5
 6.72000E-2, 7.04739E-5
 6.84000E-2, 7.04739E-5
 6.96000E-2, 7.67203E-5
 7.08000E-2, 7.98436E-5
 7.20000E-2, 7.67203E-5
 7.32000E-2, 8.60900E-5
 7.44000E-2, 8.60900E-5
 7.56000E-2, 8.60900E-5
 7.68000E-2, 8.92133E-5
 7.80000E-2, 9.23365E-5
 7.92000E-2, 8.92133E-5
 8.04000E-2, 1.04829E-4
 8.16000E-2, 1.04829E-4
 8.28000E-2, 1.11076E-4
 8.40000E-2, 1.14199E-4
 8.52000E-2, 1.17322E-4
 8.64000E-2, 1.17322E-4
 8.76000E-2, 1.17322E-4
 8.88000E-2, 1.17322E-4
 9.00000E-2, 1.17322E-4
 9.12000E-2, 1.23569E-4
 9.24000E-2, 1.23569E-4
 9.36000E-2, 1.29815E-4
 9.48000E-2, 1.32939E-4
 9.60000E-2, 1.32939E-4
 9.72000E-2, 1.32939E-4
 9.84000E-2, 1.32939E-4
 9.96000E-2, 1.36062E-4
 1.00800E-1, 1.45432E-4
 1.02000E-1, 1.48555E-4
 1.03200E-1, 1.57925E-4
 1.04400E-1, 1.67294E-4
 1.05600E-1, 1.73541E-4
 1.06800E-1, 1.79787E-4
 1.08000E-1, 1.79787E-4
 1.09200E-1, 1.79787E-4
 1.10400E-1, 1.79787E-4
 1.11600E-1, 1.89157E-4
 1.12800E-1, 1.95403E-4
 1.14000E-1, 1.95403E-4
 1.15200E-1, 1.98527E-4
 1.16400E-1, 2.04773E-4
 1.17600E-1, 2.17266E-4
 1.18800E-1, 2.23512E-4
 1.20000E-1, 2.36005E-4
 1.21200E-1, 2.42252E-4
 1.22400E-1, 2.42252E-4
 1.23600E-1, 2.48498E-4
 1.24800E-1, 2.57868E-4
 1.26000E-1, 2.57868E-4
