Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 4.54880E-5
 5.00000E-4, 4.23647E-5
 1.00000E-3, 4.23647E-5
 1.50000E-3, 4.86112E-5
 2.00000E-3, 4.23647E-5
 2.50000E-3, 4.86112E-5
 3.00000E-3, 4.86112E-5
 3.50000E-3, 4.54880E-5
 4.00000E-3, 4.54880E-5
 4.50000E-3, 4.86112E-5
 5.00000E-3, 4.86112E-5
 5.50000E-3, 5.48577E-5
 6.00000E-3, 4.54880E-5
 6.50000E-3, 5.17344E-5
 7.00000E-3, 4.86112E-5
 7.50000E-3, 4.86112E-5
 8.00000E-3, 5.17344E-5
 8.50000E-3, 4.86112E-5
 9.00000E-3, 4.86112E-5
 9.50000E-3, 5.17344E-5
 1.00000E-2, 4.86112E-5
 1.05000E-2, 4.86112E-5
 1.10000E-2, 5.17344E-5
 1.15000E-2, 5.17344E-5
 1.20000E-2, 4.54880E-5
 1.25000E-2, 4.86112E-5
 1.30000E-2, 4.86112E-5
 1.35000E-2, 5.48577E-5
 1.40000E-2, 5.17344E-5
 1.45000E-2, 4.86112E-5
 1.50000E-2, 5.48577E-5
 1.55000E-2, 5.17344E-5
 1.60000E-2, 4.86112E-5
 1.65000E-2, 5.17344E-5
 1.70000E-2, 5.48577E-5
 1.75000E-2, 5.17344E-5
 1.80000E-2, 5.17344E-5
 1.85000E-2, 5.48577E-5
 1.90000E-2, 5.48577E-5
 1.95000E-2, 5.48577E-5
 2.00000E-2, 4.86112E-5
 2.05000E-2, 5.48577E-5
 2.10000E-2, 5.48577E-5
 2.15000E-2, 5.48577E-5
 2.20000E-2, 5.48577E-5
 2.25000E-2, 5.48577E-5
 2.30000E-2, 5.48577E-5
 2.35000E-2, 5.48577E-5
 2.40000E-2, 5.48577E-5
 2.45000E-2, 5.48577E-5
 2.50000E-2, 5.48577E-5
 2.55000E-2, 5.48577E-5
 2.60000E-2, 5.48577E-5
 2.65000E-2, 5.48577E-5
 2.70000E-2, 5.48577E-5
 2.75000E-2, 5.48577E-5
 2.80000E-2, 5.48577E-5
 2.85000E-2, 5.48577E-5
 2.90000E-2, 5.48577E-5
 2.95000E-2, 5.48577E-5
 3.00000E-2, 5.48577E-5
 3.05000E-2, 5.48577E-5
 3.10000E-2, 5.48577E-5
 3.15000E-2, 5.48577E-5
 3.20000E-2, 5.48577E-5
 3.25000E-2, 5.48577E-5
 3.30000E-2, 5.48577E-5
 3.35000E-2, 5.48577E-5
 3.40000E-2, 5.48577E-5
 3.45000E-2, 5.48577E-5
 3.50000E-2, 5.48577E-5
 3.55000E-2, 5.48577E-5
 3.60000E-2, 5.48577E-5
 3.65000E-2, 5.48577E-5
 3.70000E-2, 5.48577E-5
 3.75000E-2, 5.48577E-5
 3.80000E-2, 5.48577E-5
 3.85000E-2, 5.48577E-5
 3.90000E-2, 5.48577E-5
 3.95000E-2, 5.48577E-5
 4.00000E-2, 5.48577E-5
 4.05000E-2, 5.48577E-5
 4.10000E-2, 5.48577E-5
 4.15000E-2, 5.48577E-5
 4.20000E-2, 5.48577E-5
 4.25000E-2, 5.48577E-5
 4.30000E-2, 5.48577E-5
 4.35000E-2, 5.48577E-5
 4.40000E-2, 5.48577E-5
 4.45000E-2, 5.48577E-5
 4.50000E-2, 5.48577E-5
 4.55000E-2, 5.48577E-5
 4.60000E-2, 5.48577E-5
 4.65000E-2, 5.48577E-5
 4.70000E-2, 5.48577E-5
 4.75000E-2, 5.48577E-5
