Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 3.93154E-6
 6.00000E-3, 5.49314E-6
 1.20000E-2, 7.05474E-6
 1.80000E-2, 7.05474E-6
 2.40000E-2, 7.05474E-6
 3.00000E-2, 7.05474E-6
 3.60000E-2, 7.05474E-6
 4.20000E-2, 7.67938E-6
 4.80000E-2, 8.30402E-6
 5.40000E-2, 8.30402E-6
 6.00000E-2, 8.30402E-6
 6.60000E-2, 8.61634E-6
 7.20000E-2, 8.61634E-6
 7.80000E-2, 8.61634E-6
 8.40000E-2, 8.61634E-6
 9.00000E-2, 8.61634E-6
 9.60000E-2, 8.61634E-6
 1.02000E-1, 8.61634E-6
 1.08000E-1, 8.61634E-6
 1.14000E-1, 8.61634E-6
 1.20000E-1, 8.61634E-6
 1.26000E-1, 8.61634E-6
 1.32000E-1, 8.61634E-6
 1.38000E-1, 8.61634E-6
 1.44000E-1, 8.61634E-6
 1.50000E-1, 8.61634E-6
 1.56000E-1, 8.61634E-6
 1.62000E-1, 8.61634E-6
 1.68000E-1, 8.61634E-6
 1.74000E-1, 8.61634E-6
 1.80000E-1, 8.92866E-6
 1.86000E-1, 8.61634E-6
 1.92000E-1, 8.92866E-6
 1.98000E-1, 8.92866E-6
 2.04000E-1, 8.92866E-6
 2.10000E-1, 8.92866E-6
 2.16000E-1, 9.24098E-6
 2.22000E-1, 8.92866E-6
 2.28000E-1, 9.86563E-6
 2.34000E-1, 9.55331E-6
 2.40000E-1, 1.01779E-5
 2.46000E-1, 9.86563E-6
 2.52000E-1, 1.01779E-5
 2.58000E-1, 1.01779E-5
 2.64000E-1, 9.86563E-6
 2.70000E-1, 1.01779E-5
 2.76000E-1, 1.01779E-5
 2.82000E-1, 1.01779E-5
 2.88000E-1, 1.01779E-5
 2.94000E-1, 1.01779E-5
 3.00000E-1, 1.01779E-5
 3.06000E-1, 1.01779E-5
 3.12000E-1, 1.01779E-5
 3.18000E-1, 1.01779E-5
 3.24000E-1, 1.01779E-5
 3.30000E-1, 1.04903E-5
 3.36000E-1, 1.01779E-5
 3.42000E-1, 1.01779E-5
 3.48000E-1, 1.04903E-5
 3.54000E-1, 1.08026E-5
 3.60000E-1, 1.04903E-5
 3.66000E-1, 1.08026E-5
 3.72000E-1, 1.17395E-5
 3.78000E-1, 1.08026E-5
 3.84000E-1, 1.17395E-5
 3.90000E-1, 1.14272E-5
 3.96000E-1, 1.14272E-5
 4.02000E-1, 1.20519E-5
 4.08000E-1, 1.17395E-5
 4.14000E-1, 1.20519E-5
 4.20000E-1, 1.20519E-5
 4.26000E-1, 1.23642E-5
 4.32000E-1, 1.20519E-5
 4.38000E-1, 1.23642E-5
 4.44000E-1, 1.26765E-5
 4.50000E-1, 1.26765E-5
 4.56000E-1, 1.29888E-5
 4.62000E-1, 1.26765E-5
 4.68000E-1, 1.26765E-5
 4.74000E-1, 1.33012E-5
 4.80000E-1, 1.33012E-5
 4.86000E-1, 1.33012E-5
 4.92000E-1, 1.33012E-5
 4.98000E-1, 1.33012E-5
 5.04000E-1, 1.33012E-5
 5.10000E-1, 1.33012E-5
 5.16000E-1, 1.33012E-5
 5.22000E-1, 1.33012E-5
 5.28000E-1, 1.33012E-5
 5.34000E-1, 1.33012E-5
 5.40000E-1, 1.33012E-5
 5.46000E-1, 1.33012E-5
 5.52000E-1, 1.33012E-5
 5.58000E-1, 1.33012E-5
 5.64000E-1, 1.33012E-5
 5.70000E-1, 1.33012E-5
 5.76000E-1, 1.33012E-5
 5.82000E-1, 1.33012E-5
 5.88000E-1, 1.33012E-5
 5.94000E-1, 1.33012E-5
 6.00000E-1, 1.33012E-5
 6.06000E-1, 1.36135E-5
 6.12000E-1, 1.33012E-5
 6.18000E-1, 1.36135E-5
 6.24000E-1, 1.33012E-5
 6.30000E-1, 1.39258E-5
 6.36000E-1, 1.39258E-5
 6.42000E-1, 1.45504E-5
 6.48000E-1, 1.42381E-5
 6.54000E-1, 1.39258E-5
 6.60000E-1, 1.42381E-5
 6.66000E-1, 1.45504E-5
 6.72000E-1, 1.48628E-5
 6.78000E-1, 1.42381E-5
 6.84000E-1, 1.48628E-5
 6.90000E-1, 1.48628E-5
 6.96000E-1, 1.48628E-5
 7.02000E-1, 1.48628E-5
 7.08000E-1, 1.48628E-5
 7.14000E-1, 1.45504E-5
 7.20000E-1, 1.48628E-5
