Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 3.92415E-5
 8.00000E-3, 3.92415E-5
 1.60000E-2, 3.92415E-5
 2.40000E-2, 3.92415E-5
 3.20000E-2, 3.92415E-5
 4.00000E-2, 3.92415E-5
 4.80000E-2, 3.92415E-5
 5.60000E-2, 3.92415E-5
 6.40000E-2, 3.92415E-5
 7.20000E-2, 3.92415E-5
 8.00000E-2, 3.92415E-5
 8.80000E-2, 3.92415E-5
 9.60000E-2, 3.92415E-5
 1.04000E-1, 3.92415E-5
 1.12000E-1, 3.92415E-5
 1.20000E-1, 4.23647E-5
 1.28000E-1, 3.92415E-5
 1.36000E-1, 3.92415E-5
 1.44000E-1, 3.92415E-5
 1.52000E-1, 3.92415E-5
 1.60000E-1, 3.92415E-5
 1.68000E-1, 3.92415E-5
 1.76000E-1, 3.92415E-5
 1.84000E-1, 3.92415E-5
 1.92000E-1, 3.92415E-5
 2.00000E-1, 3.92415E-5
 2.08000E-1, 3.92415E-5
 2.16000E-1, 3.92415E-5
 2.24000E-1, 3.92415E-5
 2.32000E-1, 3.92415E-5
 2.40000E-1, 3.92415E-5
 2.48000E-1, 3.92415E-5
 2.56000E-1, 3.92415E-5
 2.64000E-1, 4.23647E-5
 2.72000E-1, 3.92415E-5
 2.80000E-1, 4.23647E-5
 2.88000E-1, 3.92415E-5
 2.96000E-1, 4.23647E-5
 3.04000E-1, 3.92415E-5
 3.12000E-1, 3.92415E-5
 3.20000E-1, 4.23647E-5
 3.28000E-1, 3.92415E-5
 3.36000E-1, 3.92415E-5
 3.44000E-1, 3.92415E-5
 3.52000E-1, 4.23647E-5
 3.60000E-1, 4.23647E-5
 3.68000E-1, 3.92415E-5
 3.76000E-1, 3.92415E-5
 3.84000E-1, 3.92415E-5
 3.92000E-1, 3.92415E-5
 4.00000E-1, 3.92415E-5
 4.08000E-1, 3.92415E-5
 4.16000E-1, 3.92415E-5
 4.24000E-1, 3.92415E-5
 4.32000E-1, 3.92415E-5
 4.40000E-1, 3.92415E-5
 4.48000E-1, 4.23647E-5
 4.56000E-1, 3.92415E-5
 4.64000E-1, 3.92415E-5
 4.72000E-1, 3.92415E-5
 4.80000E-1, 4.23647E-5
 4.88000E-1, 3.92415E-5
 4.96000E-1, 5.48577E-5
 5.04000E-1, 3.92415E-5
 5.12000E-1, 3.92415E-5
 5.20000E-1, 5.79809E-5
 5.28000E-1, 3.92415E-5
 5.36000E-1, 4.54880E-5
 5.44000E-1, 4.23647E-5
 5.52000E-1, 3.92415E-5
 5.60000E-1, 4.54880E-5
 5.68000E-1, 4.54880E-5
 5.76000E-1, 4.86112E-5
 5.84000E-1, 4.86112E-5
 5.92000E-1, 4.23647E-5
 6.00000E-1, 4.23647E-5
 6.08000E-1, 4.54880E-5
 6.16000E-1, 4.54880E-5
 6.24000E-1, 4.54880E-5
 6.32000E-1, 4.86112E-5
 6.40000E-1, 4.86112E-5
 6.48000E-1, 5.48577E-5
 6.56000E-1, 4.54880E-5
 6.64000E-1, 4.23647E-5
 6.72000E-1, 5.79809E-5
 6.80000E-1, 3.92415E-5
 6.88000E-1, 4.54880E-5
 6.96000E-1, 4.86112E-5
 7.04000E-1, 5.17344E-5
 7.12000E-1, 4.23647E-5
 7.20000E-1, 6.11041E-5
 7.28000E-1, 5.48577E-5
 7.36000E-1, 5.48577E-5
 7.44000E-1, 5.79809E-5
 7.52000E-1, 4.23647E-5
 7.60000E-1, 5.48577E-5
 7.68000E-1, 5.48577E-5
 7.76000E-1, 5.48577E-5
 7.84000E-1, 5.79809E-5
 7.92000E-1, 5.79809E-5
 8.00000E-1, 4.86112E-5
 8.08000E-1, 5.79809E-5
 8.16000E-1, 6.42274E-5
 8.24000E-1, 4.86112E-5
 8.32000E-1, 5.48577E-5
 8.40000E-1, 6.11041E-5
 8.48000E-1, 5.17344E-5
 8.56000E-1, 5.48577E-5
 8.64000E-1, 6.11041E-5
 8.72000E-1, 6.42274E-5
 8.80000E-1, 5.79809E-5
 8.88000E-1, 5.79809E-5
 8.96000E-1, 5.48577E-5
 9.04000E-1, 7.04739E-5
 9.12000E-1, 6.42274E-5
 9.20000E-1, 6.11041E-5
 9.28000E-1, 6.73506E-5
 9.36000E-1, 5.48577E-5
 9.44000E-1, 5.17344E-5
 9.52000E-1, 7.04739E-5
 9.60000E-1, 6.42274E-5
 9.68000E-1, 6.73506E-5
 9.76000E-1, 5.79809E-5
 9.84000E-1, 6.73506E-5
 9.92000E-1, 6.42274E-5
 1.00000E+0, 7.04739E-5
 1.00800E+0, 6.73506E-5
 1.01600E+0, 7.04739E-5
 1.02400E+0, 6.73506E-5
 1.03200E+0, 7.04739E-5
 1.04000E+0, 5.79809E-5
 1.04800E+0, 6.73506E-5
 1.05600E+0, 7.04739E-5
 1.06400E+0, 7.04739E-5
 1.07200E+0, 6.42274E-5
 1.08000E+0, 6.73506E-5
 1.08800E+0, 6.73506E-5
 1.09600E+0, 7.04739E-5
 1.10400E+0, 7.04739E-5
 1.11200E+0, 7.04739E-5
 1.12000E+0, 7.04739E-5
 1.12800E+0, 6.73506E-5
 1.13600E+0, 6.73506E-5
 1.14400E+0, 7.04739E-5
 1.15200E+0, 7.04739E-5
 1.16000E+0, 6.73506E-5
 1.16800E+0, 7.04739E-5
 1.17600E+0, 7.04739E-5
 1.18400E+0, 7.04739E-5
 1.19200E+0, 7.04739E-5
 1.20000E+0, 6.73506E-5
 1.20800E+0, 7.04739E-5
 1.21600E+0, 7.04739E-5
 1.22400E+0, 7.04739E-5
 1.23200E+0, 7.04739E-5
 1.24000E+0, 7.04739E-5
 1.24800E+0, 6.73506E-5
 1.25600E+0, 7.04739E-5
 1.26400E+0, 7.04739E-5
 1.27200E+0, 7.04739E-5
 1.28000E+0, 7.04739E-5
 1.28800E+0, 7.04739E-5
 1.29600E+0, 7.04739E-5
 1.30400E+0, 7.04739E-5
 1.31200E+0, 7.04739E-5
 1.32000E+0, 7.04739E-5
 1.32800E+0, 7.04739E-5
 1.33600E+0, 7.04739E-5
 1.34400E+0, 7.04739E-5
 1.35200E+0, 7.04739E-5
 1.36000E+0, 7.04739E-5
 1.36800E+0, 7.04739E-5
 1.37600E+0, 7.04739E-5
 1.38400E+0, 7.04739E-5
 1.39200E+0, 7.04739E-5
 1.40000E+0, 7.04739E-5
 1.40800E+0, 7.04739E-5
 1.41600E+0, 7.04739E-5
 1.42400E+0, 7.04739E-5
 1.43200E+0, 7.04739E-5
 1.44000E+0, 7.04739E-5
 1.44800E+0, 7.04739E-5
 1.45600E+0, 7.04739E-5
 1.46400E+0, 7.04739E-5
 1.47200E+0, 7.04739E-5
 1.48000E+0, 7.04739E-5
 1.48800E+0, 7.04739E-5
 1.49600E+0, 7.04739E-5
 1.50400E+0, 7.04739E-5
 1.51200E+0, 7.04739E-5
 1.52000E+0, 7.04739E-5
 1.52800E+0, 7.04739E-5
 1.53600E+0, 7.04739E-5
 1.54400E+0, 7.04739E-5
 1.55200E+0, 7.04739E-5
 1.56000E+0, 7.04739E-5
 1.56800E+0, 7.04739E-5
 1.57600E+0, 7.04739E-5
 1.58400E+0, 7.04739E-5
 1.59200E+0, 7.04739E-5
 1.60000E+0, 7.04739E-5
 1.60800E+0, 7.04739E-5
 1.61600E+0, 7.04739E-5
 1.62400E+0, 7.04739E-5
 1.63200E+0, 7.04739E-5
 1.64000E+0, 7.04739E-5
 1.64800E+0, 7.04739E-5
 1.65600E+0, 7.04739E-5
 1.66400E+0, 7.04739E-5
 1.67200E+0, 7.04739E-5
 1.68000E+0, 7.04739E-5
 1.68800E+0, 7.04739E-5
 1.69600E+0, 7.04739E-5
 1.70400E+0, 7.04739E-5
 1.71200E+0, 7.04739E-5
 1.72000E+0, 7.04739E-5
 1.72800E+0, 7.04739E-5
 1.73600E+0, 7.04739E-5
 1.74400E+0, 7.04739E-5
 1.75200E+0, 7.04739E-5
 1.76000E+0, 7.35971E-5
 1.76800E+0, 7.04739E-5
 1.77600E+0, 7.04739E-5
 1.78400E+0, 7.35971E-5
 1.79200E+0, 7.04739E-5
 1.80000E+0, 7.35971E-5
 1.80800E+0, 7.04739E-5
 1.81600E+0, 7.35971E-5
 1.82400E+0, 7.35971E-5
 1.83200E+0, 7.04739E-5
 1.84000E+0, 7.35971E-5
 1.84800E+0, 7.04739E-5
 1.85600E+0, 7.35971E-5
 1.86400E+0, 7.04739E-5
 1.87200E+0, 7.04739E-5
 1.88000E+0, 7.67203E-5
 1.88800E+0, 7.98436E-5
 1.89600E+0, 7.35971E-5
 1.90400E+0, 8.29668E-5
 1.91200E+0, 7.35971E-5
 1.92000E+0, 7.98436E-5
 1.92800E+0, 7.98436E-5
 1.93600E+0, 8.29668E-5
 1.94400E+0, 7.98436E-5
 1.95200E+0, 7.98436E-5
 1.96000E+0, 7.98436E-5
 1.96800E+0, 8.29668E-5
 1.97600E+0, 8.29668E-5
 1.98400E+0, 8.29668E-5
 1.99200E+0, 8.60900E-5
 2.00000E+0, 8.60900E-5
 2.00800E+0, 7.98436E-5
 2.01600E+0, 8.29668E-5
 2.02400E+0, 8.60900E-5
 2.03200E+0, 8.29668E-5
 2.04000E+0, 8.29668E-5
 2.04800E+0, 8.60900E-5
 2.05600E+0, 8.60900E-5
 2.06400E+0, 8.29668E-5
 2.07200E+0, 8.29668E-5
 2.08000E+0, 8.60900E-5
 2.08800E+0, 8.60900E-5
 2.09600E+0, 8.60900E-5
 2.10400E+0, 8.60900E-5
 2.11200E+0, 8.60900E-5
 2.12000E+0, 8.60900E-5
 2.12800E+0, 8.60900E-5
 2.13600E+0, 8.60900E-5
 2.14400E+0, 8.60900E-5
 2.15200E+0, 8.60900E-5
 2.16000E+0, 8.60900E-5
 2.16800E+0, 8.60900E-5
 2.17600E+0, 8.60900E-5
 2.18400E+0, 8.60900E-5
 2.19200E+0, 8.60900E-5
 2.20000E+0, 8.60900E-5
 2.20800E+0, 8.60900E-5
 2.21600E+0, 8.60900E-5
 2.22400E+0, 8.60900E-5
 2.23200E+0, 8.60900E-5
 2.24000E+0, 8.60900E-5
 2.24800E+0, 8.60900E-5
 2.25600E+0, 8.60900E-5
 2.26400E+0, 8.60900E-5
 2.27200E+0, 8.60900E-5
 2.28000E+0, 8.60900E-5
 2.28800E+0, 8.60900E-5
 2.29600E+0, 8.60900E-5
 2.30400E+0, 8.60900E-5
 2.31200E+0, 8.60900E-5
 2.32000E+0, 8.60900E-5
 2.32800E+0, 8.60900E-5
 2.33600E+0, 8.60900E-5
 2.34400E+0, 8.60900E-5
 2.35200E+0, 8.60900E-5
 2.36000E+0, 8.60900E-5
 2.36800E+0, 8.60900E-5
 2.37600E+0, 8.60900E-5
 2.38400E+0, 8.60900E-5
 2.39200E+0, 8.60900E-5
 2.40000E+0, 8.60900E-5
 2.40800E+0, 8.60900E-5
 2.41600E+0, 8.60900E-5
 2.42400E+0, 8.60900E-5
 2.43200E+0, 8.60900E-5
 2.44000E+0, 8.60900E-5
 2.44800E+0, 8.60900E-5
 2.45600E+0, 8.60900E-5
 2.46400E+0, 8.60900E-5
 2.47200E+0, 8.92133E-5
 2.48000E+0, 8.92133E-5
 2.48800E+0, 8.60900E-5
 2.49600E+0, 9.23365E-5
 2.50400E+0, 8.60900E-5
 2.51200E+0, 8.92133E-5
 2.52000E+0, 8.60900E-5
 2.52800E+0, 8.60900E-5
 2.53600E+0, 9.23365E-5
 2.54400E+0, 8.92133E-5
 2.55200E+0, 9.85830E-5
 2.56000E+0, 9.54598E-5
 2.56800E+0, 9.54598E-5
 2.57600E+0, 1.01706E-4
 2.58400E+0, 9.54598E-5
 2.59200E+0, 9.54598E-5
 2.60000E+0, 9.85830E-5
 2.60800E+0, 9.85830E-5
 2.61600E+0, 9.23365E-5
 2.62400E+0, 9.54598E-5
 2.63200E+0, 1.01706E-4
