Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 3.92415E-5
 9.00000E-3, 3.92415E-5
 1.80000E-2, 3.92415E-5
 2.70000E-2, 3.92415E-5
 3.60000E-2, 3.92415E-5
 4.50000E-2, 3.92415E-5
 5.40000E-2, 3.92415E-5
 6.30000E-2, 3.92415E-5
 7.20000E-2, 3.92415E-5
 8.10000E-2, 3.92415E-5
 9.00000E-2, 3.92415E-5
 9.90000E-2, 3.92415E-5
 1.08000E-1, 3.92415E-5
 1.17000E-1, 3.92415E-5
 1.26000E-1, 3.92415E-5
 1.35000E-1, 3.92415E-5
 1.44000E-1, 3.92415E-5
 1.53000E-1, 3.92415E-5
 1.62000E-1, 3.92415E-5
 1.71000E-1, 4.23647E-5
 1.80000E-1, 3.92415E-5
 1.89000E-1, 3.92415E-5
 1.98000E-1, 3.92415E-5
 2.07000E-1, 3.92415E-5
 2.16000E-1, 3.92415E-5
 2.25000E-1, 3.92415E-5
 2.34000E-1, 3.92415E-5
 2.43000E-1, 3.92415E-5
 2.52000E-1, 3.92415E-5
 2.61000E-1, 3.92415E-5
 2.70000E-1, 3.92415E-5
 2.79000E-1, 3.92415E-5
 2.88000E-1, 3.92415E-5
 2.97000E-1, 3.92415E-5
 3.06000E-1, 3.92415E-5
 3.15000E-1, 3.92415E-5
 3.24000E-1, 3.92415E-5
 3.33000E-1, 3.92415E-5
 3.42000E-1, 3.92415E-5
 3.51000E-1, 3.92415E-5
 3.60000E-1, 3.92415E-5
 3.69000E-1, 3.92415E-5
 3.78000E-1, 3.92415E-5
 3.87000E-1, 3.92415E-5
 3.96000E-1, 4.23647E-5
 4.05000E-1, 3.92415E-5
 4.14000E-1, 3.92415E-5
 4.23000E-1, 3.92415E-5
 4.32000E-1, 4.23647E-5
 4.41000E-1, 3.92415E-5
 4.50000E-1, 3.92415E-5
 4.59000E-1, 3.92415E-5
 4.68000E-1, 3.92415E-5
 4.77000E-1, 3.92415E-5
 4.86000E-1, 3.92415E-5
 4.95000E-1, 4.23647E-5
 5.04000E-1, 3.92415E-5
 5.13000E-1, 3.92415E-5
 5.22000E-1, 3.92415E-5
 5.31000E-1, 3.92415E-5
 5.40000E-1, 4.23647E-5
 5.49000E-1, 3.92415E-5
 5.58000E-1, 4.23647E-5
 5.67000E-1, 4.23647E-5
 5.76000E-1, 4.23647E-5
 5.85000E-1, 3.92415E-5
 5.94000E-1, 4.23647E-5
 6.03000E-1, 3.92415E-5
 6.12000E-1, 4.23647E-5
 6.21000E-1, 3.92415E-5
 6.30000E-1, 5.17344E-5
 6.39000E-1, 4.54880E-5
 6.48000E-1, 5.17344E-5
 6.57000E-1, 4.23647E-5
 6.66000E-1, 4.54880E-5
 6.75000E-1, 4.23647E-5
 6.84000E-1, 4.54880E-5
 6.93000E-1, 5.17344E-5
 7.02000E-1, 4.54880E-5
 7.11000E-1, 5.17344E-5
 7.20000E-1, 5.17344E-5
 7.29000E-1, 4.54880E-5
 7.38000E-1, 5.17344E-5
 7.47000E-1, 5.48577E-5
 7.56000E-1, 5.17344E-5
 7.65000E-1, 5.17344E-5
 7.74000E-1, 4.86112E-5
 7.83000E-1, 4.86112E-5
 7.92000E-1, 5.17344E-5
 8.01000E-1, 4.86112E-5
 8.10000E-1, 4.86112E-5
 8.19000E-1, 5.79809E-5
 8.28000E-1, 4.86112E-5
 8.37000E-1, 6.42274E-5
 8.46000E-1, 4.86112E-5
 8.55000E-1, 4.86112E-5
 8.64000E-1, 6.42274E-5
 8.73000E-1, 5.48577E-5
 8.82000E-1, 5.79809E-5
 8.91000E-1, 6.11041E-5
 9.00000E-1, 5.48577E-5
 9.09000E-1, 5.48577E-5
 9.18000E-1, 6.42274E-5
 9.27000E-1, 5.48577E-5
 9.36000E-1, 5.48577E-5
 9.45000E-1, 6.11041E-5
 9.54000E-1, 6.73506E-5
 9.63000E-1, 6.42274E-5
 9.72000E-1, 6.42274E-5
 9.81000E-1, 6.42274E-5
 9.90000E-1, 7.04739E-5
 9.99000E-1, 6.11041E-5
 1.00800E+0, 6.11041E-5
 1.01700E+0, 6.73506E-5
 1.02600E+0, 6.42274E-5
 1.03500E+0, 5.79809E-5
 1.04400E+0, 7.04739E-5
 1.05300E+0, 6.42274E-5
 1.06200E+0, 7.04739E-5
 1.07100E+0, 7.04739E-5
 1.08000E+0, 6.42274E-5
