Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 3.93154E-6
 5.00000E-3, 5.18082E-6
 1.00000E-2, 6.43010E-6
 1.50000E-2, 7.05474E-6
 2.00000E-2, 7.05474E-6
 2.50000E-2, 7.05474E-6
 3.00000E-2, 7.05474E-6
 3.50000E-2, 7.05474E-6
 4.00000E-2, 7.36706E-6
 4.50000E-2, 8.30402E-6
 5.00000E-2, 7.99170E-6
 5.50000E-2, 8.61634E-6
 6.00000E-2, 8.61634E-6
 6.50000E-2, 8.30402E-6
 7.00000E-2, 8.61634E-6
 7.50000E-2, 8.61634E-6
 8.00000E-2, 8.61634E-6
 8.50000E-2, 8.61634E-6
 9.00000E-2, 8.61634E-6
 9.50000E-2, 8.61634E-6
 1.00000E-1, 8.61634E-6
 1.05000E-1, 8.61634E-6
 1.10000E-1, 8.61634E-6
 1.15000E-1, 8.61634E-6
 1.20000E-1, 8.61634E-6
 1.25000E-1, 8.61634E-6
 1.30000E-1, 8.61634E-6
 1.35000E-1, 8.61634E-6
 1.40000E-1, 8.61634E-6
 1.45000E-1, 8.61634E-6
 1.50000E-1, 8.61634E-6
 1.55000E-1, 8.61634E-6
 1.60000E-1, 8.61634E-6
 1.65000E-1, 8.61634E-6
 1.70000E-1, 8.61634E-6
 1.75000E-1, 8.61634E-6
 1.80000E-1, 8.92866E-6
 1.85000E-1, 8.92866E-6
 1.90000E-1, 8.92866E-6
 1.95000E-1, 8.61634E-6
 2.00000E-1, 8.92866E-6
 2.05000E-1, 8.92866E-6
 2.10000E-1, 8.61634E-6
 2.15000E-1, 9.24098E-6
 2.20000E-1, 8.92866E-6
 2.25000E-1, 9.55331E-6
 2.30000E-1, 9.24098E-6
 2.35000E-1, 9.55331E-6
 2.40000E-1, 1.01779E-5
 2.45000E-1, 9.55331E-6
 2.50000E-1, 9.55331E-6
 2.55000E-1, 9.86563E-6
 2.60000E-1, 9.55331E-6
 2.65000E-1, 1.01779E-5
 2.70000E-1, 1.01779E-5
 2.75000E-1, 9.86563E-6
 2.80000E-1, 9.86563E-6
 2.85000E-1, 1.01779E-5
 2.90000E-1, 1.01779E-5
 2.95000E-1, 1.04903E-5
 3.00000E-1, 1.01779E-5
 3.05000E-1, 1.01779E-5
 3.10000E-1, 1.01779E-5
 3.15000E-1, 1.04903E-5
 3.20000E-1, 1.01779E-5
 3.25000E-1, 1.01779E-5
 3.30000E-1, 1.04903E-5
 3.35000E-1, 1.01779E-5
 3.40000E-1, 1.04903E-5
 3.45000E-1, 1.08026E-5
 3.50000E-1, 1.08026E-5
 3.55000E-1, 1.04903E-5
 3.60000E-1, 1.08026E-5
 3.65000E-1, 1.08026E-5
 3.70000E-1, 1.11149E-5
 3.75000E-1, 1.17395E-5
 3.80000E-1, 1.17395E-5
 3.85000E-1, 1.17395E-5
 3.90000E-1, 1.17395E-5
 3.95000E-1, 1.14272E-5
 4.00000E-1, 1.17395E-5
 4.05000E-1, 1.17395E-5
 4.10000E-1, 1.17395E-5
 4.15000E-1, 1.17395E-5
 4.20000E-1, 1.17395E-5
 4.25000E-1, 1.20519E-5
 4.30000E-1, 1.23642E-5
 4.35000E-1, 1.26765E-5
 4.40000E-1, 1.20519E-5
 4.45000E-1, 1.23642E-5
 4.50000E-1, 1.23642E-5
 4.55000E-1, 1.26765E-5
 4.60000E-1, 1.33012E-5
 4.65000E-1, 1.33012E-5
 4.70000E-1, 1.33012E-5
 4.75000E-1, 1.29888E-5
 4.80000E-1, 1.33012E-5
 4.85000E-1, 1.29888E-5
 4.90000E-1, 1.33012E-5
 4.95000E-1, 1.33012E-5
 5.00000E-1, 1.33012E-5
 5.05000E-1, 1.33012E-5
 5.10000E-1, 1.33012E-5
 5.15000E-1, 1.33012E-5
 5.20000E-1, 1.33012E-5
 5.25000E-1, 1.33012E-5
 5.30000E-1, 1.33012E-5
 5.35000E-1, 1.33012E-5
 5.40000E-1, 1.33012E-5
 5.45000E-1, 1.33012E-5
 5.50000E-1, 1.33012E-5
 5.55000E-1, 1.33012E-5
 5.60000E-1, 1.33012E-5
 5.65000E-1, 1.33012E-5
 5.70000E-1, 1.33012E-5
 5.75000E-1, 1.33012E-5
 5.80000E-1, 1.33012E-5
 5.85000E-1, 1.33012E-5
 5.90000E-1, 1.33012E-5
 5.95000E-1, 1.33012E-5
 6.00000E-1, 1.33012E-5
 6.05000E-1, 1.33012E-5
 6.10000E-1, 1.36135E-5
 6.15000E-1, 1.33012E-5
 6.20000E-1, 1.33012E-5
 6.25000E-1, 1.36135E-5
 6.30000E-1, 1.33012E-5
 6.35000E-1, 1.39258E-5
 6.40000E-1, 1.36135E-5
 6.45000E-1, 1.39258E-5
 6.50000E-1, 1.39258E-5
 6.55000E-1, 1.39258E-5
 6.60000E-1, 1.42381E-5
 6.65000E-1, 1.36135E-5
 6.70000E-1, 1.42381E-5
 6.75000E-1, 1.42381E-5
 6.80000E-1, 1.42381E-5
 6.85000E-1, 1.48628E-5
 6.90000E-1, 1.42381E-5
 6.95000E-1, 1.48628E-5
 7.00000E-1, 1.48628E-5
 7.05000E-1, 1.48628E-5
 7.10000E-1, 1.48628E-5
 7.15000E-1, 1.48628E-5
 7.20000E-1, 1.48628E-5
 7.25000E-1, 1.48628E-5
 7.30000E-1, 1.48628E-5
 7.35000E-1, 1.48628E-5
 7.40000E-1, 1.48628E-5
 7.45000E-1, 1.48628E-5
 7.50000E-1, 1.48628E-5
 7.55000E-1, 1.48628E-5
 7.60000E-1, 1.48628E-5
 7.65000E-1, 1.48628E-5
 7.70000E-1, 1.48628E-5
 7.75000E-1, 1.48628E-5
 7.80000E-1, 1.48628E-5
 7.85000E-1, 1.48628E-5
 7.90000E-1, 1.48628E-5
 7.95000E-1, 1.48628E-5
 8.00000E-1, 1.48628E-5
 8.05000E-1, 1.48628E-5
 8.10000E-1, 1.48628E-5
 8.15000E-1, 1.48628E-5
 8.20000E-1, 1.51751E-5
 8.25000E-1, 1.48628E-5
 8.30000E-1, 1.54874E-5
 8.35000E-1, 1.54874E-5
 8.40000E-1, 1.57997E-5
 8.45000E-1, 1.61120E-5
 8.50000E-1, 1.57997E-5
 8.55000E-1, 1.57997E-5
 8.60000E-1, 1.61120E-5
 8.65000E-1, 1.64244E-5
 8.70000E-1, 1.64244E-5
 8.75000E-1, 1.64244E-5
 8.80000E-1, 1.61120E-5
 8.85000E-1, 1.61120E-5
 8.90000E-1, 1.64244E-5
 8.95000E-1, 1.64244E-5
 9.00000E-1, 1.67367E-5
 9.05000E-1, 1.67367E-5
 9.10000E-1, 1.67367E-5
 9.15000E-1, 1.64244E-5
 9.20000E-1, 1.70490E-5
 9.25000E-1, 1.70490E-5
 9.30000E-1, 1.73613E-5
 9.35000E-1, 1.76736E-5
 9.40000E-1, 1.76736E-5
 9.45000E-1, 1.79860E-5
 9.50000E-1, 1.76736E-5
 9.55000E-1, 1.79860E-5
 9.60000E-1, 1.79860E-5
 9.65000E-1, 1.79860E-5
 9.70000E-1, 1.79860E-5
 9.75000E-1, 1.79860E-5
 9.80000E-1, 1.79860E-5
 9.85000E-1, 1.82983E-5
 9.90000E-1, 1.82983E-5
 9.95000E-1, 1.82983E-5
 1.00000E+0, 1.79860E-5
 1.00500E+0, 1.92352E-5
 1.01000E+0, 1.92352E-5
 1.01500E+0, 1.92352E-5
 1.02000E+0, 1.95476E-5
 1.02500E+0, 1.95476E-5
 1.03000E+0, 1.95476E-5
 1.03500E+0, 1.95476E-5
 1.04000E+0, 1.92352E-5
 1.04500E+0, 1.95476E-5
 1.05000E+0, 1.95476E-5
 1.05500E+0, 1.95476E-5
 1.06000E+0, 1.95476E-5
 1.06500E+0, 1.95476E-5
 1.07000E+0, 1.95476E-5
 1.07500E+0, 1.95476E-5
 1.08000E+0, 1.95476E-5
 1.08500E+0, 1.95476E-5
 1.09000E+0, 1.95476E-5
 1.09500E+0, 1.95476E-5
 1.10000E+0, 1.95476E-5
 1.10500E+0, 1.95476E-5
 1.11000E+0, 1.95476E-5
 1.11500E+0, 1.95476E-5
 1.12000E+0, 1.95476E-5
 1.12500E+0, 1.95476E-5
 1.13000E+0, 1.98599E-5
 1.13500E+0, 1.95476E-5
 1.14000E+0, 1.95476E-5
 1.14500E+0, 2.01722E-5
 1.15000E+0, 2.01722E-5
 1.15500E+0, 2.07968E-5
 1.16000E+0, 1.95476E-5
 1.16500E+0, 1.95476E-5
 1.17000E+0, 2.07968E-5
 1.17500E+0, 2.04845E-5
 1.18000E+0, 2.04845E-5
 1.18500E+0, 2.11092E-5
 1.19000E+0, 2.11092E-5
 1.19500E+0, 2.11092E-5
 1.20000E+0, 2.11092E-5
 1.20500E+0, 2.11092E-5
 1.21000E+0, 2.11092E-5
 1.21500E+0, 2.11092E-5
 1.22000E+0, 2.11092E-5
 1.22500E+0, 2.11092E-5
 1.23000E+0, 2.11092E-5
 1.23500E+0, 2.11092E-5
 1.24000E+0, 2.11092E-5
 1.24500E+0, 2.11092E-5
 1.25000E+0, 2.11092E-5
 1.25500E+0, 2.11092E-5
 1.26000E+0, 2.11092E-5
 1.26500E+0, 2.11092E-5
 1.27000E+0, 2.17338E-5
 1.27500E+0, 2.14215E-5
 1.28000E+0, 2.11092E-5
 1.28500E+0, 2.17338E-5
 1.29000E+0, 2.26708E-5
 1.29500E+0, 2.17338E-5
 1.30000E+0, 2.17338E-5
 1.30500E+0, 2.23584E-5
 1.31000E+0, 2.26708E-5
 1.31500E+0, 2.26708E-5
 1.32000E+0, 2.26708E-5
 1.32500E+0, 2.29831E-5
 1.33000E+0, 2.26708E-5
 1.33500E+0, 2.36077E-5
 1.34000E+0, 2.29831E-5
 1.34500E+0, 2.36077E-5
 1.35000E+0, 2.32954E-5
 1.35500E+0, 2.39201E-5
 1.36000E+0, 2.39201E-5
 1.36500E+0, 2.42324E-5
 1.37000E+0, 2.39201E-5
 1.37500E+0, 2.42324E-5
 1.38000E+0, 2.42324E-5
 1.38500E+0, 2.42324E-5
 1.39000E+0, 2.42324E-5
 1.39500E+0, 2.42324E-5
 1.40000E+0, 2.48570E-5
 1.40500E+0, 2.51693E-5
 1.41000E+0, 2.48570E-5
 1.41500E+0, 2.51693E-5
 1.42000E+0, 2.57940E-5
 1.42500E+0, 2.57940E-5
 1.43000E+0, 2.57940E-5
 1.43500E+0, 2.57940E-5
 1.44000E+0, 2.57940E-5
 1.44500E+0, 2.57940E-5
 1.45000E+0, 2.57940E-5
 1.45500E+0, 2.57940E-5
 1.46000E+0, 2.57940E-5
 1.46500E+0, 2.57940E-5
 1.47000E+0, 2.57940E-5
 1.47500E+0, 2.57940E-5
 1.48000E+0, 2.57940E-5
 1.48500E+0, 2.57940E-5
 1.49000E+0, 2.57940E-5
 1.49500E+0, 2.57940E-5
 1.50000E+0, 2.57940E-5
 1.50500E+0, 2.61063E-5
 1.51000E+0, 2.61063E-5
 1.51500E+0, 2.61063E-5
 1.52000E+0, 2.61063E-5
 1.52500E+0, 2.61063E-5
 1.53000E+0, 2.64186E-5
 1.53500E+0, 2.64186E-5
 1.54000E+0, 2.70433E-5
 1.54500E+0, 2.70433E-5
 1.55000E+0, 2.73556E-5
 1.55500E+0, 2.73556E-5
 1.56000E+0, 2.73556E-5
 1.56500E+0, 2.73556E-5
 1.57000E+0, 2.73556E-5
 1.57500E+0, 2.73556E-5
 1.58000E+0, 2.73556E-5
 1.58500E+0, 2.73556E-5
 1.59000E+0, 2.73556E-5
