Sweep (V)@Temporary,Measure (A)@Temporary
 0.00000E+0, 4.52054E-7
 4.00000E-3, 1.32666E-6
 8.00000E-3, 1.67026E-6
 1.20000E-2, 2.10756E-6
 1.60000E-2, 2.38869E-6
 2.00000E-2, 2.57610E-6
 2.40000E-2, 2.82599E-6
 2.80000E-2, 3.13835E-6
 3.20000E-2, 3.20082E-6
 3.60000E-2, 3.35701E-6
 4.00000E-2, 3.66937E-6
 4.40000E-2, 3.79431E-6
 4.80000E-2, 3.82555E-6
 5.20000E-2, 3.98173E-6
 5.60000E-2, 3.98173E-6
 6.00000E-2, 4.20038E-6
 6.40000E-2, 4.29409E-6
 6.80000E-2, 4.35656E-6
 7.20000E-2, 4.45027E-6
 7.60000E-2, 4.45027E-6
 8.00000E-2, 4.54397E-6
 8.40000E-2, 4.60645E-6
 8.80000E-2, 4.60645E-6
 9.20000E-2, 4.60645E-6
 9.60000E-2, 4.73139E-6
 1.00000E-1, 4.85633E-6
 1.04000E-1, 4.91881E-6
 1.08000E-1, 4.91881E-6
 1.12000E-1, 5.01251E-6
 1.16000E-1, 5.07499E-6
 1.20000E-1, 5.07499E-6
 1.24000E-1, 5.07499E-6
 1.28000E-1, 5.07499E-6
 1.32000E-1, 5.07499E-6
 1.36000E-1, 5.16870E-6
 1.40000E-1, 5.19993E-6
 1.44000E-1, 5.23117E-6
 1.48000E-1, 5.23117E-6
 1.52000E-1, 5.26240E-6
 1.56000E-1, 5.35611E-6
 1.60000E-1, 5.44982E-6
 1.64000E-1, 5.51229E-6
 1.68000E-1, 5.54353E-6
 1.72000E-1, 5.54353E-6
 1.76000E-1, 5.54353E-6
 1.80000E-1, 5.66847E-6
 1.84000E-1, 5.69971E-6
 1.88000E-1, 5.69971E-6
 1.92000E-1, 5.69971E-6
 1.96000E-1, 5.69971E-6
 2.00000E-1, 5.69971E-6
 2.04000E-1, 5.82465E-6
 2.08000E-1, 5.85589E-6
 2.12000E-1, 5.85589E-6
 2.16000E-1, 5.85589E-6
 2.20000E-1, 5.85589E-6
 2.24000E-1, 5.91836E-6
 2.28000E-1, 6.16825E-6
 2.32000E-1, 6.16825E-6
 2.36000E-1, 6.16825E-6
 2.40000E-1, 6.16825E-6
 2.44000E-1, 6.19948E-6
 2.48000E-1, 6.26196E-6
 2.52000E-1, 6.32443E-6
 2.56000E-1, 6.32443E-6
 2.60000E-1, 6.32443E-6
 2.64000E-1, 6.32443E-6
 2.68000E-1, 6.32443E-6
 2.72000E-1, 6.35566E-6
 2.76000E-1, 6.44937E-6
 2.80000E-1, 6.48061E-6
 2.84000E-1, 6.48061E-6
